Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search Suite,Chrome 62.0.3202.62,,2018-11-01 00:32:24,2018-11-01 00:33:17,53.030s,PASSED
,,,,,,
Test Cases/BNYM USA,Chrome 62.0.3202.62,,2018-11-01 00:32:25,2018-11-01 00:33:05,40.494s,PASSED
openBrowser,Chrome 62.0.3202.62,,2018-11-01 00:32:25,2018-11-01 00:32:35,10.305s,PASSED
navigateToUrl,Chrome 62.0.3202.62,,2018-11-01 00:32:35,2018-11-01 00:32:41,5.774s,PASSED
maximizeWindow,Chrome 62.0.3202.62,,2018-11-01 00:32:41,2018-11-01 00:32:42,1.236s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:32:42,2018-11-01 00:32:46,3.884s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:32:46,2018-11-01 00:32:47,0.494s,PASSED
delay,Chrome 62.0.3202.62,,2018-11-01 00:32:47,2018-11-01 00:32:51,4.044s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:32:51,2018-11-01 00:32:53,1.683s,PASSED
delay,Chrome 62.0.3202.62,,2018-11-01 00:32:53,2018-11-01 00:32:57,4.010s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:32:57,2018-11-01 00:32:59,2.878s,PASSED
delay,Chrome 62.0.3202.62,,2018-11-01 00:32:59,2018-11-01 00:33:03,4.009s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-11-01 00:33:03,2018-11-01 00:33:05,1.562s,PASSED
,,,,,,
Test Cases/Google Search,Chrome 62.0.3202.62,,2018-11-01 00:33:05,2018-11-01 00:33:17,11.568s,PASSED
openBrowser,Chrome 62.0.3202.62,,2018-11-01 00:33:05,2018-11-01 00:33:09,3.523s,PASSED
navigateToUrl,Chrome 62.0.3202.62,,2018-11-01 00:33:09,2018-11-01 00:33:11,2.686s,PASSED
setText,Chrome 62.0.3202.62,,2018-11-01 00:33:11,2018-11-01 00:33:12,0.239s,PASSED
sendKeys,Chrome 62.0.3202.62,,2018-11-01 00:33:12,2018-11-01 00:33:12,0.151s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:33:12,2018-11-01 00:33:12,0.141s,PASSED
click,Chrome 62.0.3202.62,,2018-11-01 00:33:12,2018-11-01 00:33:15,3.344s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-11-01 00:33:15,2018-11-01 00:33:17,1.266s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-11-01 00:33:17,2018-11-01 00:33:17,0.000s,PASSED
