Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search Suite,Chrome 62.0.3202.62,,2018-10-31 22:42:29,2018-10-31 22:43:22,52.729s,PASSED
,,,,,,
Test Cases/BNYM USA,Chrome 62.0.3202.62,,2018-10-31 22:42:30,2018-10-31 22:43:10,40.081s,PASSED
openBrowser,Chrome 62.0.3202.62,,2018-10-31 22:42:30,2018-10-31 22:42:38,7.790s,PASSED
navigateToUrl,Chrome 62.0.3202.62,,2018-10-31 22:42:38,2018-10-31 22:42:44,5.522s,PASSED
maximizeWindow,Chrome 62.0.3202.62,,2018-10-31 22:42:44,2018-10-31 22:42:45,1.430s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:42:45,2018-10-31 22:42:49,3.728s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:42:49,2018-10-31 22:42:49,0.462s,PASSED
delay,Chrome 62.0.3202.62,,2018-10-31 22:42:49,2018-10-31 22:42:53,4.020s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:42:53,2018-10-31 22:42:56,2.429s,PASSED
delay,Chrome 62.0.3202.62,,2018-10-31 22:42:56,2018-10-31 22:43:00,4.008s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:43:00,2018-10-31 22:43:04,4.874s,PASSED
delay,Chrome 62.0.3202.62,,2018-10-31 22:43:04,2018-10-31 22:43:08,4.004s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-10-31 22:43:08,2018-10-31 22:43:10,1.179s,PASSED
,,,,,,
Test Cases/Google Search,Chrome 62.0.3202.62,,2018-10-31 22:43:10,2018-10-31 22:43:21,11.805s,PASSED
openBrowser,Chrome 62.0.3202.62,,2018-10-31 22:43:10,2018-10-31 22:43:14,4.347s,PASSED
navigateToUrl,Chrome 62.0.3202.62,,2018-10-31 22:43:14,2018-10-31 22:43:17,2.690s,PASSED
setText,Chrome 62.0.3202.62,,2018-10-31 22:43:17,2018-10-31 22:43:18,0.740s,PASSED
sendKeys,Chrome 62.0.3202.62,,2018-10-31 22:43:18,2018-10-31 22:43:18,0.171s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:43:18,2018-10-31 22:43:18,0.134s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:43:18,2018-10-31 22:43:20,2.179s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-10-31 22:43:20,2018-10-31 22:43:21,1.365s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-10-31 22:43:21,2018-10-31 22:43:21,0.002s,PASSED
